ethnicity	tissue	microID	location	link
AFR	Adipose Subcutaneous	311234	chr2:73559315	http://www.cagmdb.org/view_table.php?id=311234
AFR	Adipose Subcutaneous	331818	chr2:176131175	http://www.cagmdb.org/view_table.php?id=331818
AFR	Adipose Subcutaneous	335865	chr2:196989510	http://www.cagmdb.org/view_table.php?id=335865
AFR	Adipose Subcutaneous	351131	chr3:27322147	http://www.cagmdb.org/view_table.php?id=351131
AFR	Adipose Subcutaneous	356304	chr3:51993838	http://www.cagmdb.org/view_table.php?id=356304
AFR	Adipose Subcutaneous	373956	chr3:142375975	http://www.cagmdb.org/view_table.php?id=373956
AFR	Adipose Subcutaneous	381487	chr3:179210061	http://www.cagmdb.org/view_table.php?id=381487
AFR	Adipose Subcutaneous	382740	chr3:184711346	http://www.cagmdb.org/view_table.php?id=382740
AFR	Adipose Subcutaneous	385948	chr4:952564	http://www.cagmdb.org/view_table.php?id=385948
AFR	Adipose Subcutaneous	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Adipose Subcutaneous	401361	chr4:74097587	http://www.cagmdb.org/view_table.php?id=401361
AFR	Adipose Subcutaneous	440030	chr5:78964857	http://www.cagmdb.org/view_table.php?id=440030
AFR	Adipose Subcutaneous	452207	chr5:140648008	http://www.cagmdb.org/view_table.php?id=452207
AFR	Adipose Subcutaneous	453791	chr5:148095939	http://www.cagmdb.org/view_table.php?id=453791
AFR	Adipose Subcutaneous	467839	chr6:29657256	http://www.cagmdb.org/view_table.php?id=467839
AFR	Adipose Subcutaneous	484042	chr6:109585127	http://www.cagmdb.org/view_table.php?id=484042
AFR	Adipose Subcutaneous	517917	chr7:100722509	http://www.cagmdb.org/view_table.php?id=517917
AFR	Adipose Subcutaneous	528719	chr7:150687106	http://www.cagmdb.org/view_table.php?id=528719
AFR	Adipose Subcutaneous	530240	chr7:157574514	http://www.cagmdb.org/view_table.php?id=530240
AFR	Adipose Subcutaneous	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Adipose Subcutaneous	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Adipose Subcutaneous	574638	chr9:92474743	http://www.cagmdb.org/view_table.php?id=574638
AFR	Esophagus Mucosa	8073	chr10:32804931	http://www.cagmdb.org/view_table.php?id=8073
AFR	Esophagus Mucosa	18772	chr10:80289496	http://www.cagmdb.org/view_table.php?id=18772
AFR	Esophagus Mucosa	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Esophagus Mucosa	31461	chr11:7672623	http://www.cagmdb.org/view_table.php?id=31461
AFR	Esophagus Mucosa	39786	chr11:47245858	http://www.cagmdb.org/view_table.php?id=39786
AFR	Esophagus Mucosa	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Esophagus Mucosa	45362	chr11:77243518	http://www.cagmdb.org/view_table.php?id=45362
AFR	Esophagus Mucosa	51592	chr11:108146045	http://www.cagmdb.org/view_table.php?id=51592
AFR	Esophagus Mucosa	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Esophagus Mucosa	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Esophagus Mucosa	84298	chr12:123721191	http://www.cagmdb.org/view_table.php?id=84298
AFR	Esophagus Mucosa	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Esophagus Mucosa	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Esophagus Mucosa	161848	chr16:88733965	http://www.cagmdb.org/view_table.php?id=161848
AFR	Esophagus Mucosa	164837	chr17:9897983	http://www.cagmdb.org/view_table.php?id=164837
AFR	Esophagus Mucosa	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Esophagus Mucosa	181719	chr17:81700634	http://www.cagmdb.org/view_table.php?id=181719
AFR	Esophagus Mucosa	199250	chr19:2916361	http://www.cagmdb.org/view_table.php?id=199250
AFR	Esophagus Mucosa	205248	chr19:20839536	http://www.cagmdb.org/view_table.php?id=205248
AFR	Esophagus Mucosa	238643	chr1:109759145	http://www.cagmdb.org/view_table.php?id=238643
AFR	Esophagus Mucosa	245600	chr1:166975020	http://www.cagmdb.org/view_table.php?id=245600
AFR	Esophagus Mucosa	259839	chr1:234383574	http://www.cagmdb.org/view_table.php?id=259839
AFR	Esophagus Mucosa	268278	chr20:23421268	http://www.cagmdb.org/view_table.php?id=268278
AFR	Esophagus Mucosa	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Esophagus Mucosa	285986	chr21:46599781	http://www.cagmdb.org/view_table.php?id=285986
AFR	Esophagus Mucosa	295544	chr2:1137503	http://www.cagmdb.org/view_table.php?id=295544
AFR	Esophagus Mucosa	299086	chr2:17510684	http://www.cagmdb.org/view_table.php?id=299086
AFR	Esophagus Mucosa	335865	chr2:196989510	http://www.cagmdb.org/view_table.php?id=335865
AFR	Esophagus Mucosa	337933	chr2:206150024	http://www.cagmdb.org/view_table.php?id=337933
AFR	Esophagus Mucosa	353457	chr3:38370241	http://www.cagmdb.org/view_table.php?id=353457
AFR	Esophagus Mucosa	355036	chr3:46709584	http://www.cagmdb.org/view_table.php?id=355036
AFR	Esophagus Mucosa	356304	chr3:51993838	http://www.cagmdb.org/view_table.php?id=356304
AFR	Esophagus Mucosa	382740	chr3:184711346	http://www.cagmdb.org/view_table.php?id=382740
AFR	Esophagus Mucosa	385948	chr4:952564	http://www.cagmdb.org/view_table.php?id=385948
AFR	Esophagus Mucosa	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Esophagus Mucosa	466669	chr6:24466571	http://www.cagmdb.org/view_table.php?id=466669
AFR	Esophagus Mucosa	466669	chr6:24466571	http://www.cagmdb.org/view_table.php?id=466669
AFR	Esophagus Mucosa	470071	chr6:39311073	http://www.cagmdb.org/view_table.php?id=470071
AFR	Esophagus Mucosa	478577	chr6:83152212	http://www.cagmdb.org/view_table.php?id=478577
AFR	Esophagus Mucosa	481070	chr6:95586994	http://www.cagmdb.org/view_table.php?id=481070
AFR	Esophagus Mucosa	549897	chr8:94534778	http://www.cagmdb.org/view_table.php?id=549897
AFR	Esophagus Mucosa	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Esophagus Mucosa	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Esophagus Mucosa	574591	chr9:92224833	http://www.cagmdb.org/view_table.php?id=574591
AFR	Esophagus Mucosa	584678	chr9:136980867	http://www.cagmdb.org/view_table.php?id=584678
AFR	Esophagus Muscularis	18736	chr10:80166227	http://www.cagmdb.org/view_table.php?id=18736
AFR	Esophagus Muscularis	25255	chr10:110285085	http://www.cagmdb.org/view_table.php?id=25255
AFR	Esophagus Muscularis	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Esophagus Muscularis	31249	chr11:6390706	http://www.cagmdb.org/view_table.php?id=31249
AFR	Esophagus Muscularis	43868	chr11:70325462	http://www.cagmdb.org/view_table.php?id=43868
AFR	Esophagus Muscularis	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Esophagus Muscularis	50483	chr11:102721319	http://www.cagmdb.org/view_table.php?id=50483
AFR	Esophagus Muscularis	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Esophagus Muscularis	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Esophagus Muscularis	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Esophagus Muscularis	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Esophagus Muscularis	118481	chr14:75732476	http://www.cagmdb.org/view_table.php?id=118481
AFR	Esophagus Muscularis	129341	chr15:40353111	http://www.cagmdb.org/view_table.php?id=129341
AFR	Esophagus Muscularis	134859	chr15:64980738	http://www.cagmdb.org/view_table.php?id=134859
AFR	Esophagus Muscularis	143363	chr16:1999882	http://www.cagmdb.org/view_table.php?id=143363
AFR	Esophagus Muscularis	144015	chr16:4890395	http://www.cagmdb.org/view_table.php?id=144015
AFR	Esophagus Muscularis	161848	chr16:88733965	http://www.cagmdb.org/view_table.php?id=161848
AFR	Esophagus Muscularis	163504	chr17:4891201	http://www.cagmdb.org/view_table.php?id=163504
AFR	Esophagus Muscularis	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Esophagus Muscularis	181070	chr17:78802467	http://www.cagmdb.org/view_table.php?id=181070
AFR	Esophagus Muscularis	202147	chr19:11192784	http://www.cagmdb.org/view_table.php?id=202147
AFR	Esophagus Muscularis	209666	chr19:41292564	http://www.cagmdb.org/view_table.php?id=209666
AFR	Esophagus Muscularis	211972	chr19:49154454	http://www.cagmdb.org/view_table.php?id=211972
AFR	Esophagus Muscularis	214689	chr1:1752909	http://www.cagmdb.org/view_table.php?id=214689
AFR	Esophagus Muscularis	236818	chr1:101021818	http://www.cagmdb.org/view_table.php?id=236818
AFR	Esophagus Muscularis	238643	chr1:109759145	http://www.cagmdb.org/view_table.php?id=238643
AFR	Esophagus Muscularis	245600	chr1:166975020	http://www.cagmdb.org/view_table.php?id=245600
AFR	Esophagus Muscularis	263953	chr20:3045700	http://www.cagmdb.org/view_table.php?id=263953
AFR	Esophagus Muscularis	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Esophagus Muscularis	290016	chr22:32367649	http://www.cagmdb.org/view_table.php?id=290016
AFR	Esophagus Muscularis	295544	chr2:1137503	http://www.cagmdb.org/view_table.php?id=295544
AFR	Esophagus Muscularis	297306	chr2:9412255	http://www.cagmdb.org/view_table.php?id=297306
AFR	Esophagus Muscularis	328516	chr2:159976348	http://www.cagmdb.org/view_table.php?id=328516
AFR	Esophagus Muscularis	353216	chr3:37121842	http://www.cagmdb.org/view_table.php?id=353216
AFR	Esophagus Muscularis	356304	chr3:51993838	http://www.cagmdb.org/view_table.php?id=356304
AFR	Esophagus Muscularis	382740	chr3:184711346	http://www.cagmdb.org/view_table.php?id=382740
AFR	Esophagus Muscularis	385404	chr3:196488581	http://www.cagmdb.org/view_table.php?id=385404
AFR	Esophagus Muscularis	385949	chr4:952629	http://www.cagmdb.org/view_table.php?id=385949
AFR	Esophagus Muscularis	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Esophagus Muscularis	440550	chr5:81257142	http://www.cagmdb.org/view_table.php?id=440550
AFR	Esophagus Muscularis	453779	chr5:148065546	http://www.cagmdb.org/view_table.php?id=453779
AFR	Esophagus Muscularis	478582	chr6:83188582	http://www.cagmdb.org/view_table.php?id=478582
AFR	Esophagus Muscularis	481070	chr6:95586994	http://www.cagmdb.org/view_table.php?id=481070
AFR	Esophagus Muscularis	492986	chr6:152444592	http://www.cagmdb.org/view_table.php?id=492986
AFR	Esophagus Muscularis	494530	chr6:159265928	http://www.cagmdb.org/view_table.php?id=494530
AFR	Esophagus Muscularis	503821	chr7:33014503	http://www.cagmdb.org/view_table.php?id=503821
AFR	Esophagus Muscularis	512755	chr7:76433118	http://www.cagmdb.org/view_table.php?id=512755
AFR	Esophagus Muscularis	517917	chr7:100722509	http://www.cagmdb.org/view_table.php?id=517917
AFR	Esophagus Muscularis	519013	chr7:105205929	http://www.cagmdb.org/view_table.php?id=519013
AFR	Esophagus Muscularis	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Esophagus Muscularis	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Lung	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Lung	31249	chr11:6390706	http://www.cagmdb.org/view_table.php?id=31249
AFR	Lung	31461	chr11:7672623	http://www.cagmdb.org/view_table.php?id=31461
AFR	Lung	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Lung	52377	chr11:111809518	http://www.cagmdb.org/view_table.php?id=52377
AFR	Lung	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Lung	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Lung	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Lung	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Lung	67754	chr12:52316262	http://www.cagmdb.org/view_table.php?id=67754
AFR	Lung	82921	chr12:119194706	http://www.cagmdb.org/view_table.php?id=82921
AFR	Lung	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Lung	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Lung	111886	chr14:45159081	http://www.cagmdb.org/view_table.php?id=111886
AFR	Lung	125012	chr14:104004362	http://www.cagmdb.org/view_table.php?id=125012
AFR	Lung	143233	chr16:1329644	http://www.cagmdb.org/view_table.php?id=143233
AFR	Lung	143363	chr16:1999882	http://www.cagmdb.org/view_table.php?id=143363
AFR	Lung	162043	chr16:89784709	http://www.cagmdb.org/view_table.php?id=162043
AFR	Lung	164837	chr17:9897983	http://www.cagmdb.org/view_table.php?id=164837
AFR	Lung	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Lung	209319	chr19:40255439	http://www.cagmdb.org/view_table.php?id=209319
AFR	Lung	212029	chr19:49355022	http://www.cagmdb.org/view_table.php?id=212029
AFR	Lung	232039	chr1:77711529	http://www.cagmdb.org/view_table.php?id=232039
AFR	Lung	235453	chr1:94079250	http://www.cagmdb.org/view_table.php?id=235453
AFR	Lung	243833	chr1:158699553	http://www.cagmdb.org/view_table.php?id=243833
AFR	Lung	245600	chr1:166975020	http://www.cagmdb.org/view_table.php?id=245600
AFR	Lung	263380	chr20:417396	http://www.cagmdb.org/view_table.php?id=263380
AFR	Lung	263953	chr20:3045700	http://www.cagmdb.org/view_table.php?id=263953
AFR	Lung	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Lung	310339	chr2:69514608	http://www.cagmdb.org/view_table.php?id=310339
AFR	Lung	326812	chr2:151411208	http://www.cagmdb.org/view_table.php?id=326812
AFR	Lung	335865	chr2:196989510	http://www.cagmdb.org/view_table.php?id=335865
AFR	Lung	373371	chr3:139374299	http://www.cagmdb.org/view_table.php?id=373371
AFR	Lung	373956	chr3:142375975	http://www.cagmdb.org/view_table.php?id=373956
AFR	Lung	382740	chr3:184711346	http://www.cagmdb.org/view_table.php?id=382740
AFR	Lung	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Lung	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Lung	450490	chr5:132485829	http://www.cagmdb.org/view_table.php?id=450490
AFR	Lung	534588	chr8:20178508	http://www.cagmdb.org/view_table.php?id=534588
AFR	Lung	558271	chr8:133116887	http://www.cagmdb.org/view_table.php?id=558271
AFR	Lung	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Lung	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Lung	584439	chr9:135786171	http://www.cagmdb.org/view_table.php?id=584439
AFR	Adipose Visceral	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Adipose Visceral	29910	chr10:133402253	http://www.cagmdb.org/view_table.php?id=29910
AFR	Adipose Visceral	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Adipose Visceral	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Adipose Visceral	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Adipose Visceral	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Adipose Visceral	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Adipose Visceral	148666	chr16:23067914	http://www.cagmdb.org/view_table.php?id=148666
AFR	Adipose Visceral	175503	chr17:56985104	http://www.cagmdb.org/view_table.php?id=175503
AFR	Adipose Visceral	190278	chr18:41962443	http://www.cagmdb.org/view_table.php?id=190278
AFR	Adipose Visceral	206583	chr19:30009212	http://www.cagmdb.org/view_table.php?id=206583
AFR	Adipose Visceral	238643	chr1:109759145	http://www.cagmdb.org/view_table.php?id=238643
AFR	Adipose Visceral	239807	chr1:115564394	http://www.cagmdb.org/view_table.php?id=239807
AFR	Adipose Visceral	243812	chr1:158611132	http://www.cagmdb.org/view_table.php?id=243812
AFR	Adipose Visceral	245600	chr1:166975020	http://www.cagmdb.org/view_table.php?id=245600
AFR	Adipose Visceral	263953	chr20:3045700	http://www.cagmdb.org/view_table.php?id=263953
AFR	Adipose Visceral	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Adipose Visceral	285986	chr21:46599781	http://www.cagmdb.org/view_table.php?id=285986
AFR	Adipose Visceral	295544	chr2:1137503	http://www.cagmdb.org/view_table.php?id=295544
AFR	Adipose Visceral	335865	chr2:196989510	http://www.cagmdb.org/view_table.php?id=335865
AFR	Adipose Visceral	382740	chr3:184711346	http://www.cagmdb.org/view_table.php?id=382740
AFR	Adipose Visceral	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Adipose Visceral	453779	chr5:148065546	http://www.cagmdb.org/view_table.php?id=453779
AFR	Adipose Visceral	467516	chr6:28125216	http://www.cagmdb.org/view_table.php?id=467516
AFR	Adipose Visceral	512755	chr7:76433118	http://www.cagmdb.org/view_table.php?id=512755
AFR	Adipose Visceral	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Adipose Visceral	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Adipose Visceral	582355	chr9:127365413	http://www.cagmdb.org/view_table.php?id=582355
AFR	Artery Aorta	22991	chr10:100297703	http://www.cagmdb.org/view_table.php?id=22991
AFR	Artery Aorta	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Artery Aorta	31249	chr11:6390706	http://www.cagmdb.org/view_table.php?id=31249
AFR	Artery Aorta	31461	chr11:7672623	http://www.cagmdb.org/view_table.php?id=31461
AFR	Artery Aorta	33622	chr11:18338437	http://www.cagmdb.org/view_table.php?id=33622
AFR	Artery Aorta	43870	chr11:70331779	http://www.cagmdb.org/view_table.php?id=43870
AFR	Artery Aorta	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Artery Aorta	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Artery Aorta	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Artery Aorta	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Artery Aorta	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Artery Aorta	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Artery Aorta	124944	chr14:103710854	http://www.cagmdb.org/view_table.php?id=124944
AFR	Artery Aorta	124944	chr14:103710854	http://www.cagmdb.org/view_table.php?id=124944
AFR	Artery Aorta	134859	chr15:64980738	http://www.cagmdb.org/view_table.php?id=134859
AFR	Artery Aorta	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Artery Aorta	175503	chr17:56985104	http://www.cagmdb.org/view_table.php?id=175503
AFR	Artery Aorta	181719	chr17:81700634	http://www.cagmdb.org/view_table.php?id=181719
AFR	Artery Aorta	207247	chr19:32438944	http://www.cagmdb.org/view_table.php?id=207247
AFR	Artery Aorta	217835	chr1:15112330	http://www.cagmdb.org/view_table.php?id=217835
AFR	Artery Aorta	270239	chr20:33714516	http://www.cagmdb.org/view_table.php?id=270239
AFR	Artery Aorta	283698	chr21:36247634	http://www.cagmdb.org/view_table.php?id=283698
AFR	Artery Aorta	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Artery Aorta	326813	chr2:151414675	http://www.cagmdb.org/view_table.php?id=326813
AFR	Artery Aorta	327975	chr2:157257987	http://www.cagmdb.org/view_table.php?id=327975
AFR	Artery Aorta	337933	chr2:206150024	http://www.cagmdb.org/view_table.php?id=337933
AFR	Artery Aorta	348862	chr3:15498470	http://www.cagmdb.org/view_table.php?id=348862
AFR	Artery Aorta	385949	chr4:952629	http://www.cagmdb.org/view_table.php?id=385949
AFR	Artery Aorta	386355	chr4:2988577	http://www.cagmdb.org/view_table.php?id=386355
AFR	Artery Aorta	434579	chr5:50841743	http://www.cagmdb.org/view_table.php?id=434579
AFR	Artery Aorta	440030	chr5:78964857	http://www.cagmdb.org/view_table.php?id=440030
AFR	Artery Aorta	449310	chr5:126593309	http://www.cagmdb.org/view_table.php?id=449310
AFR	Artery Aorta	471228	chr6:44248808	http://www.cagmdb.org/view_table.php?id=471228
AFR	Artery Aorta	478577	chr6:83152212	http://www.cagmdb.org/view_table.php?id=478577
AFR	Artery Aorta	503821	chr7:33014503	http://www.cagmdb.org/view_table.php?id=503821
AFR	Artery Aorta	517917	chr7:100722509	http://www.cagmdb.org/view_table.php?id=517917
AFR	Artery Aorta	560392	chr8:143559982	http://www.cagmdb.org/view_table.php?id=560392
AFR	Artery Aorta	568298	chr9:37305833	http://www.cagmdb.org/view_table.php?id=568298
AFR	Artery Aorta	568326	chr9:37422524	http://www.cagmdb.org/view_table.php?id=568326
AFR	Artery Aorta	574591	chr9:92224833	http://www.cagmdb.org/view_table.php?id=574591
AFR	Artery Tibial	20920	chr10:90916431	http://www.cagmdb.org/view_table.php?id=20920
AFR	Artery Tibial	27149	chr10:119146429	http://www.cagmdb.org/view_table.php?id=27149
AFR	Artery Tibial	31249	chr11:6390706	http://www.cagmdb.org/view_table.php?id=31249
AFR	Artery Tibial	31461	chr11:7672623	http://www.cagmdb.org/view_table.php?id=31461
AFR	Artery Tibial	42305	chr11:64118928	http://www.cagmdb.org/view_table.php?id=42305
AFR	Artery Tibial	51592	chr11:108146045	http://www.cagmdb.org/view_table.php?id=51592
AFR	Artery Tibial	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Artery Tibial	54026	chr11:119018676	http://www.cagmdb.org/view_table.php?id=54026
AFR	Artery Tibial	57131	chr11:134382307	http://www.cagmdb.org/view_table.php?id=57131
AFR	Artery Tibial	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Artery Tibial	66900	chr12:48903350	http://www.cagmdb.org/view_table.php?id=66900
AFR	Artery Tibial	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Artery Tibial	93594	chr13:52455636	http://www.cagmdb.org/view_table.php?id=93594
AFR	Artery Tibial	124944	chr14:103710854	http://www.cagmdb.org/view_table.php?id=124944
AFR	Artery Tibial	143363	chr16:1999882	http://www.cagmdb.org/view_table.php?id=143363
AFR	Artery Tibial	148666	chr16:23067914	http://www.cagmdb.org/view_table.php?id=148666
AFR	Artery Tibial	161848	chr16:88733965	http://www.cagmdb.org/view_table.php?id=161848
AFR	Artery Tibial	163504	chr17:4891201	http://www.cagmdb.org/view_table.php?id=163504
AFR	Artery Tibial	166745	chr17:18208489	http://www.cagmdb.org/view_table.php?id=166745
AFR	Artery Tibial	175503	chr17:56985104	http://www.cagmdb.org/view_table.php?id=175503
AFR	Artery Tibial	180126	chr17:74999289	http://www.cagmdb.org/view_table.php?id=180126
AFR	Artery Tibial	198796	chr19:1496701	http://www.cagmdb.org/view_table.php?id=198796
AFR	Artery Tibial	209465	chr19:40685303	http://www.cagmdb.org/view_table.php?id=209465
AFR	Artery Tibial	214689	chr1:1752909	http://www.cagmdb.org/view_table.php?id=214689
AFR	Artery Tibial	214689	chr1:1752909	http://www.cagmdb.org/view_table.php?id=214689
AFR	Artery Tibial	226795	chr1:52525366	http://www.cagmdb.org/view_table.php?id=226795
AFR	Artery Tibial	238643	chr1:109759145	http://www.cagmdb.org/view_table.php?id=238643
AFR	Artery Tibial	239458	chr1:113880912	http://www.cagmdb.org/view_table.php?id=239458
AFR	Artery Tibial	243812	chr1:158611132	http://www.cagmdb.org/view_table.php?id=243812
AFR	Artery Tibial	254169	chr1:207070018	http://www.cagmdb.org/view_table.php?id=254169
AFR	Artery Tibial	263953	chr20:3045700	http://www.cagmdb.org/view_table.php?id=263953
AFR	Artery Tibial	268278	chr20:23421268	http://www.cagmdb.org/view_table.php?id=268278
AFR	Artery Tibial	277125	chr20:62329366	http://www.cagmdb.org/view_table.php?id=277125
AFR	Artery Tibial	285929	chr21:46302072	http://www.cagmdb.org/view_table.php?id=285929
AFR	Artery Tibial	297306	chr2:9412255	http://www.cagmdb.org/view_table.php?id=297306
AFR	Artery Tibial	311234	chr2:73559315	http://www.cagmdb.org/view_table.php?id=311234
AFR	Artery Tibial	313735	chr2:85554455	http://www.cagmdb.org/view_table.php?id=313735
AFR	Artery Tibial	323498	chr2:135829831	http://www.cagmdb.org/view_table.php?id=323498
AFR	Artery Tibial	326813	chr2:151414675	http://www.cagmdb.org/view_table.php?id=326813
AFR	Artery Tibial	327975	chr2:157257987	http://www.cagmdb.org/view_table.php?id=327975
